trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.002, 'e': 1.0}",20,0,-120.4634617069077,"{0: 14, 1: 1, 2: 1, 3: 2, 4: 2}",0
2,False,"{'a': 0.002, 'e': 0.9980019986673331}",25,0,-48.09888036236262,"{0: 18, 1: 0, 2: 7, 3: 0, 4: 0}",0
3,False,"{'a': 0.002, 'e': 0.9960079893439915}",20,0,-89.24091654271994,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
4,False,"{'a': 0.002, 'e': 0.9940179640539353}",20,9,-39.013690794688436,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 1}",1
5,False,"{'a': 0.002, 'e': 0.9920319148370607}",25,0,-106.06773837879281,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
6,False,"{'a': 0.002, 'e': 0.9900498337491681}",20,0,-90.43024620586193,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
7,False,"{'a': 0.002, 'e': 0.9880717128619305}",30,0,-129.0133461998749,"{0: 14, 1: 7, 2: 7, 3: 2, 4: 0}",0
8,False,"{'a': 0.002, 'e': 0.9860975442628619}",30,0,-114.51902323396615,"{0: 19, 1: 3, 2: 6, 3: 1, 4: 1}",0
9,False,"{'a': 0.002, 'e': 0.9841273200552851}",35,0,-186.3089438372253,"{0: 23, 1: 1, 2: 7, 3: 1, 4: 3}",0
10,False,"{'a': 0.002, 'e': 0.9821610323583008}",25,0,-206.13386777538813,"{0: 12, 1: 1, 2: 9, 3: 0, 4: 3}",0
11,False,"{'a': 0.002, 'e': 0.9801986733067553}",20,0,-78.5530720969057,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
12,False,"{'a': 0.002, 'e': 0.97824023505121}",25,0,-142.9580846318882,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
