trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-106.90467796699535,"{0: 12, 1: 5, 2: 0, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-150.7930668981662,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-120.13254227034687,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-41.991125987583814,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,3,-95.58308603615524,"{0: 13, 1: 1, 2: 7, 3: 0, 4: 1}",1
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-142.2884143447071,"{0: 7, 1: 4, 2: 7, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",35,0,-184.30850814500153,"{0: 20, 1: 2, 2: 8, 3: 4, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-26.494231864529404,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-135.17398085423065,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-55.44582202964169,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-113.78022089174806,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-129.4640479874577,"{0: 20, 1: 1, 2: 7, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-174.2661229701436,"{0: 7, 1: 5, 2: 12, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",35,0,-220.32047327101392,"{0: 21, 1: 2, 2: 7, 3: 2, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-244.87549922095695,"{0: 8, 1: 1, 2: 5, 3: 2, 4: 4}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-142.39339720497162,"{0: 18, 1: 4, 2: 4, 3: 3, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-114.47132628560112,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,3,-162.5195589377219,"{0: 7, 1: 1, 2: 5, 3: 2, 4: 2}",1
19,False,"{'a': 0.5, 'e': 1.0}",20,3,-95.22017490683852,"{0: 6, 1: 4, 2: 6, 3: 1, 4: 0}",1
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-61.34213911015263,"{0: 17, 1: 3, 2: 3, 3: 2, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-120.86656434746706,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-108.95686672668361,"{0: 20, 1: 1, 2: 7, 3: 1, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-117.9646837377079,"{0: 15, 1: 5, 2: 3, 3: 0, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-202.14766667935564,"{0: 10, 1: 3, 2: 8, 3: 2, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,2,-101.63314324922027,"{0: 18, 1: 2, 2: 7, 3: 0, 4: 1}",1
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-114.68318780972574,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-177.58014209402347,"{0: 12, 1: 2, 2: 8, 3: 1, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-91.59346795851256,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-186.0535740557668,"{0: 17, 1: 1, 2: 8, 3: 2, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-84.51927711856652,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
